E ; deltaE ; I ; deltaI ; I ENDF ; deltaI ENDF
340026.3 eV ; 200.0012 eV ; 5.03072E-5 % ; 1.61964E-5 % ; 5.030720E-7 ; 1.619640E-7
342509.9 eV ; 200.0004 eV ; 1.222288E-5 % ; 3.934821E-6 % ; 1.222288E-7 ; 3.934821E-8
343156.7 eV ; 200.0000 eV ; 1.974368E-6 % ; 6.356158E-7 % ; 1.974368E-8 ; 6.356158E-9
346461.5 eV ; 30.00150 eV ; 0.1318834 % ; 0.01067777 % ; 0.001318834 ; 0.0001067777
347996.3 eV ; 30.00817 eV ; 0.01834143 % ; 0.001509943 % ; 0.0001834143 ; 0.00001509943
350479.9 eV ; 30.00267 eV ; 0.004509636 % ; 3.714519E-4 % ; 0.00004509636 ; 0.000003714519
351126.7 eV ; 30.00000 eV ; 7.942344E-4 % ; 6.573015E-5 % ; 0.000007942344 ; 6.573015E-7
356706.3 eV ; 30.00817 eV ; 0.03023527 % ; 0.002434309 % ; 0.0003023527 ; 0.00002434309
359189.9 eV ; 30.00267 eV ; 0.007440757 % ; 5.973085E-4 % ; 0.00007440757 ; 0.000005973085
359836.7 eV ; 30.00000 eV ; 0.001318834 % ; 1.067777E-4 % ; 0.00001318834 ; 0.000001067777
369019.0 eV ; 80.00156 eV ; 0.002923 % ; 0.001778793 % ; 0.00002923000 ; 0.00001778793
380359.0 eV ; 50.00250 eV ; 0.2345826 % ; 0.02168847 % ; 0.002345826 ; 0.0002168847
382479.0 eV ; 150.0008 eV ; 0.002133 % ; 0.001349132 % ; 0.00002133000 ; 0.00001349132
383281.5 eV ; 200.0002 eV ; 1.4378E-4 % ; 6.135137E-5 % ; 0.000001437800 ; 6.135137E-7
393526.3 eV ; 200.0012 eV ; 3.2864E-5 % ; 1.392536E-5 % ; 3.286400E-7 ; 1.392536E-7
396009.9 eV ; 200.0004 eV ; 8.1133E-6 % ; 3.35605E-6 % ; 8.113300E-8 ; 3.356050E-8
396021.5 eV ; 20.00225 eV ; 0.125531 % ; 0.01155828 % ; 0.001255310 ; 0.0001155828
396656.7 eV ; 200.0000 eV ; 1.4378E-6 % ; 6.135137E-7 % ; 1.437800E-8 ; 6.135137E-9
397581.5 eV ; 1000.000 eV ; 1.1376E-4 % ; 4.818101E-5 % ; 0.000001137600 ; 4.818101E-7
403839.0 eV ; 70.00179 eV ; 4.00925E-4 % ; 3.858851E-5 % ; 0.000004009250 ; 3.858851E-7
406266.3 eV ; 20.01225 eV ; 0.028914 % ; 0.002671543 % ; 0.0002891400 ; 0.00002671543
